Year,Total Consumption
2014,198.7360863322521
2015,194.62137609835833
2016,200.71869671458597
2017,207.9370548618651
2018,241.35070415088512
2019,246.667189396039
2020,336.00048966907474
2021,389.06496130749866
2022,425.5973553978348
2023,482.2228685068989
2024,574.3960604993646
